FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Rinav Kakarlapudi,30,Male,Storage Administrator,Operations,1001-5000,Hybrid,103,3,With Partner,Shared Space(Kitchen/Living Room),27,1,4,6,4,5,3,143,1-4 hours,"email,MS teams,slack",3,1,4,2,3,5,1,5,2,6,1,Yes,Yes,1,,,,,,,,,,,2.4,2.5,3.6666666666666665,,"Storage Administrator email,MS teams,slack",1,2,1,2,3
Raot Jadeja,30,Male,Executive Recruiter / Headhunter,HR,201-1000,Hybrid,113,1,With Children,Co-Working Space,19,4,5,5,3,5,6,64,<15 minutes,"slack,google meet,asana,MS teams",4,5,5,2,5,1,1,3,3,6,3,Yes,Yes,3,,,,,,,,,,,3.8,4.5,1.6666666666666667,,"Executive Recruiter / Headhunter slack,google meet,asana,MS teams",1,1,2,2,2
Gayat Ganguly,42,Male,Embedded Systems Engineer,Operations,51-200,Hybrid,98,3,Live Alone,Desk In Shared Room,24,4,3,9,4,4,6,75,15-60 minutes,"notion,MS teams,email",4,3,2,5,1,3,5,1,5,8,1,Yes,Yes,4,,,,,,,,,,,3.8,3.5,3.0,,"Embedded Systems Engineer notion,MS teams,email",1,2,4,2,0
Karar Gahlot,49,Female,Deep Learning Engineer,Software Development,51-200,Fully Remote,85,1,With Children,Desk In Shared Room,30,1,5,9,3,4,10,80,>24 hours,"email,zoom,slack",4,5,4,1,3,2,2,1,1,6,1,Not Sure,No,4,,,,,,,,,,,3.0,3.0,1.6666666666666667,,"Deep Learning Engineer email,zoom,slack",0,5,4,1,2
Pryav Sen,25,Male,Systems Engineer,Operations,Nov-50,Office- First,101,5,Shared Accommodation,Dedicated Room,35,1,2,4,3,3,8,79,>24 hours,"asana,email",5,2,4,1,1,1,1,2,5,7,3,Yes,Don't Know,3,,,,,,,,,,,3.4,1.5,1.3333333333333333,,"Systems Engineer asana,email",1,2,5,3,1
Riruan Chudasama,46,Male,Campus Recruiter,HR,5001+,Hybrid,121,4,With Children,Dedicated Room,22,3,3,5,4,4,3,96,15-60 minutes,"google meet,jira,slack",1,5,1,5,3,3,3,3,5,8,2,Yes,Yes,3,,,,,,,,,,,3.4,3.0,3.0,,"Campus Recruiter google meet,jira,slack",1,1,3,2,2
Sher Sapru,28,Male,DevOps Engineer,Operations,201-1000,Hybrid,163,2,With Partner,Dedicated Room,37,5,4,8,5,5,12,109,>24 hours,"asana,MS teams,slack",4,4,4,4,2,5,5,4,5,9,5,Not Sure,Yes,5,,,,,,,,,,,4.2,4.5,4.666666666666667,,"DevOps Engineer asana,MS teams,slack",1,2,2,2,3
Derun Mishra,24,Male,Site Reliability Engineer (SRE),Operations,1001-5000,Flexible/ Variable,86,5,With Partner,Dedicated Room,28,2,1,7,2,4,7,77,>24 hours,"email,google meet,notion",3,3,5,1,1,5,4,2,3,9,4,No,Yes,3,,,,,,,,,,,3.0,1.5,3.6666666666666665,,"Site Reliability Engineer (SRE) email,google meet,notion",1,2,1,0,3
Shreya Chattopadhyay,38,Female,Network Engineer,Operations,Nov-50,Hybrid,35,4,Shared Accommodation,Shared Space(Kitchen/Living Room),29,3,5,9,4,4,6,85,1-4 hours,"email,MS teams,notion",4,5,5,2,2,2,3,3,4,9,3,No,Yes,4,,,,,,,,,,,4.0,4.0,2.6666666666666665,,"Network Engineer email,MS teams,notion",0,2,5,2,1
Viaesh Fadnavis,33,Male,Software Developer / Engineer,Software Development,5001+,Office- First,83,4,Live Alone,Co-Working Space,38,3,5,7,1,1,1,66,15-60 minutes,"jira,asana",4,1,3,1,5,5,2,5,5,9,1,No,Don't Know,4,,,,,,,,,,,2.8,4.0,4.0,,"Software Developer / Engineer jira,asana",1,5,3,3,0
Shoth Charmakar,27,Female,Release Engineer,Software Development,51-200,Flexible/ Variable,33,3,With Children,Dedicated Room,43,4,4,6,3,5,3,79,>24 hours,"slack,google meet",5,4,2,4,5,3,4,4,2,8,1,Yes,Yes,5,,,,,,,,,,,3.4,4.0,3.6666666666666665,,"Release Engineer slack,google meet",0,5,4,0,2
Rirav Pattnaik,40,Male,Front-End Developer,Software Development,Nov-50,Fully Remote,58,1,Shared Accommodation,Co-Working Space,45,5,7,4,1,3,2,138,15-60 minutes,"asana,MS teams",3,2,5,5,4,5,3,4,3,7,4,Not Sure,No,1,,,,,,,,,,,3.6,6.0,4.0,,"Front-End Developer asana,MS teams",1,5,5,1,1
Shyan Gokhale,25,Male,System Administrator,Operations,201-1000,Fully Remote,88,1,With Partner,Desk In Shared Room,22,3,2,5,4,4,5,109,4-24 hours,"jira,email,slack",5,3,1,3,5,4,1,1,3,6,2,Not Sure,Yes,2,,,,,,,,,,,3.0,2.5,2.0,,"System Administrator jira,email,slack",1,2,2,1,3
Kreesh Gondal,48,Male,API Developer,Software Development,1001-5000,Hybrid,108,4,Shared Accommodation,Co-Working Space,39,4,3,5,5,2,10,73,1-4 hours,"email,zoom,slack,MS teams,jira",1,5,5,3,5,2,1,3,2,9,3,No,No,4,,,,,,,,,,,3.2,3.5,2.0,,"API Developer email,zoom,slack,MS teams,jira",1,5,1,2,1
Vedika Gopalakrishnan,42,Female,Product Manager,Product,01-Oct,Flexible/ Variable,9,5,With Children,Co-Working Space,44,4,7,8,1,4,7,138,15-60 minutes,"email,zoom,MS teams",3,2,2,1,2,4,4,1,3,9,3,Yes,No,3,,,,,,,,,,,2.2,5.5,3.0,,"Product Manager email,zoom,MS teams",0,3,0,0,2
Suoan Upadhyaya,49,Male,Back-End Developer,Software Development,Nov-50,Office- First,30,2,With Partner,Dedicated Room,39,2,3,7,2,5,9,67,<15 minutes,"zoom,google meet,slack,notion",2,1,5,2,2,4,4,2,1,8,3,No,No,4,,,,,,,,,,,2.2,2.5,3.3333333333333335,,"Back-End Developer zoom,google meet,slack,notion",1,5,5,3,3
Preesh Maheshwari,34,Female,Deep Learning Engineer,Software Development,51-200,Office- First,104,4,With Children,Co-Working Space,26,4,7,7,5,5,5,76,4-24 hours,"asana,jira,zoom,google meet",4,4,5,5,5,5,5,4,1,7,1,Not Sure,No,2,,,,,,,,,,,3.8,5.5,4.666666666666667,,"Deep Learning Engineer asana,jira,zoom,google meet",0,5,4,3,2
Mavian Asur,40,Female,Product Owner,Product,201-1000,Hybrid,69,2,Shared Accommodation,Desk In Shared Room,42,5,4,7,5,3,4,130,<15 minutes,"google meet,asana",4,4,2,4,2,3,5,5,5,8,5,Not Sure,Yes,4,,,,,,,,,,,3.8,4.5,4.333333333333333,,"Product Owner google meet,asana",0,3,2,2,1
Makash Kedia,44,Male,IT Support Specialist / Helpdesk,Software Development,01-Oct,Office- First,158,3,Shared Accommodation,Shared Space(Kitchen/Living Room),31,2,7,8,3,1,8,64,<15 minutes,"email,jira",2,1,4,1,4,5,4,4,4,9,5,No,No,3,,,,,,,,,,,2.4,4.5,4.333333333333333,,"IT Support Specialist / Helpdesk email,jira",1,5,0,3,1
Tauaj Jhala,28,Male,Application Security Engineer,Software Development,51-200,Flexible/ Variable,97,3,With Children,Dedicated Room,23,3,5,10,5,3,10,128,<15 minutes,"slack,email,MS teams",1,5,1,4,4,5,3,3,4,7,3,Yes,No,3,,,,,,,,,,,3.0,4.0,3.6666666666666665,,"Application Security Engineer slack,email,MS teams",1,5,4,0,2
Tarun Hatkar,37,Male,AR/VR Developer,Software Development,01-Oct,Fully Remote,57,2,With Children,Shared Space(Kitchen/Living Room),23,2,2,6,5,3,5,148,>24 hours,"MS teams,google meet,jira,zoom",1,4,3,3,2,3,3,4,1,6,2,Not Sure,Don't Know,3,,,,,,,,,,,2.4,2.0,3.3333333333333335,,"AR/VR Developer MS teams,google meet,jira,zoom",1,5,0,1,2
Dhyan Mahar,38,Female,AI Ethics Specialist,Software Development,51-200,Fully Remote,24,2,With Partner,Co-Working Space,36,3,6,8,1,4,9,102,<15 minutes,"MS teams,zoom,google meet,asana,slack",1,4,4,5,1,2,1,4,4,9,4,Not Sure,Yes,3,,,,,,,,,,,3.6,4.5,2.3333333333333335,,"AI Ethics Specialist MS teams,zoom,google meet,asana,slack",0,5,4,1,3
Gaet Verma,38,Male,Deep Learning Engineer,Software Development,Nov-50,Fully Remote,62,5,Shared Accommodation,Desk In Shared Room,22,2,7,6,5,2,2,87,<15 minutes,"slack,notion",3,3,2,4,4,1,2,1,5,9,3,Yes,Yes,4,,,,,,,,,,,3.4,4.5,1.3333333333333333,,"Deep Learning Engineer slack,notion",1,5,5,1,1
Dhrash Pawar,34,Male,UI/UX Designer,Design,Nov-50,Fully Remote,32,1,With Partner,Dedicated Room,46,4,2,4,5,4,3,92,15-60 minutes,"slack,asana,email",3,5,5,4,5,3,2,2,1,7,2,Not Sure,No,3,,,,,,,,,,,3.6,3.0,2.3333333333333335,,"UI/UX Designer slack,asana,email",1,0,5,1,3
Risith Sisodiya,24,Female,Deep Learning Engineer,Software Development,51-200,Flexible/ Variable,20,2,Live Alone,Dedicated Room,35,5,7,7,4,5,4,145,15-60 minutes,"slack,email",1,3,4,3,2,4,3,3,4,7,2,Yes,Yes,5,,,,,,,,,,,3.0,6.0,3.3333333333333335,,"Deep Learning Engineer slack,email",0,5,4,0,0
Riuya Soni,32,Female,Automation Engineer,Software Development,1001-5000,Flexible/ Variable,109,2,With Partner,Dedicated Room,28,4,5,4,3,2,7,128,<15 minutes,"zoom,jira,slack,MS teams",5,2,4,1,1,1,1,5,2,8,1,Yes,No,5,,,,,,,,,,,2.8,4.5,2.3333333333333335,,"Automation Engineer zoom,jira,slack,MS teams",0,5,1,0,3
Sashaesh Subramanian,42,Male,NLP Engineer,Software Development,5001+,Fully Remote,142,5,With Partner,Desk In Shared Room,33,4,3,4,4,1,9,133,1-4 hours,"zoom,MS teams,asana,slack,google meet",1,5,5,2,1,4,4,5,1,9,2,Yes,Don't Know,5,,,,,,,,,,,2.8,3.5,4.333333333333333,,"NLP Engineer zoom,MS teams,asana,slack,google meet",1,5,3,1,3
Aryaan Upadhyay / Upadhyaya,26,Female,Cloud Administrator,Operations,5001+,Hybrid,99,3,Shared Accommodation,Dedicated Room,26,3,6,8,2,4,6,100,1-4 hours,"notion,MS teams,google meet,asana,zoom",5,3,1,5,5,1,2,4,3,9,5,Yes,Yes,2,,,,,,,,,,,3.4,4.5,2.3333333333333335,,"Cloud Administrator notion,MS teams,google meet,asana,zoom",0,2,3,2,1
Janil Banerjee,41,Male,UI/UX Researcher,Design,01-Oct,Hybrid,149,2,Live Alone,Dedicated Room,33,5,5,5,4,1,2,133,4-24 hours,"zoom,google meet",3,4,3,2,3,1,5,5,2,6,3,Yes,Yes,4,,,,,,,,,,,2.8,5.0,3.6666666666666665,,"UI/UX Researcher zoom,google meet",1,0,0,2,0
Rashar Acharya,32,Male,Software Developer / Engineer,Software Development,01-Oct,Office- First,124,2,Shared Accommodation,Shared Space(Kitchen/Living Room),41,5,7,4,4,2,5,67,<15 minutes,"slack,MS teams,email",4,1,4,3,2,4,3,4,4,8,1,Yes,Don't Know,2,,,,,,,,,,,3.2,6.0,3.6666666666666665,,"Software Developer / Engineer slack,MS teams,email",1,5,0,3,1
Niol Satnami,42,Female,Engineering Manager,Software Development,51-200,Hybrid,20,4,With Children,Co-Working Space,40,5,7,4,1,4,9,66,15-60 minutes,"slack,MS teams,jira,asana,zoom",5,4,1,5,2,4,5,4,4,6,4,No,No,5,,,,,,,,,,,3.8,6.0,4.333333333333333,,"Engineering Manager slack,MS teams,jira,asana,zoom",0,5,4,2,2
Aarohi Acharya,49,Female,Database Administrator (DBA),Operations,1001-5000,Hybrid,130,2,With Children,Shared Space(Kitchen/Living Room),42,2,3,8,1,5,1,92,<15 minutes,"slack,email,zoom",4,1,1,2,1,1,4,3,3,7,1,Yes,No,1,,,,,,,,,,,2.2,2.5,2.6666666666666665,,"Database Administrator (DBA) slack,email,zoom",0,2,1,2,2
Nimeet Gautam,27,Male,VP of Human Resources,HR,1001-5000,Flexible/ Variable,149,3,With Children,Shared Space(Kitchen/Living Room),32,5,3,4,1,5,1,94,4-24 hours,"asana,zoom,slack",5,2,2,5,4,4,2,5,1,9,3,Yes,Don't Know,5,,,,,,,,,,,3.0,4.0,3.6666666666666665,,"VP of Human Resources asana,zoom,slack",1,1,1,0,2
Viniesh Rao,48,Male,Recruiter / Technical Recruiter,HR,01-Oct,Office- First,168,4,Shared Accommodation,Dedicated Room,43,3,4,8,4,3,11,133,1-4 hours,"MS teams,email",1,3,4,3,2,1,5,3,3,8,3,Not Sure,Don't Know,1,,,,,,,,,,,2.8,3.5,3.0,,"Recruiter / Technical Recruiter MS teams,email",1,1,0,3,1
Ninit Vishwakarma,37,Male,System Administrator,Operations,01-Oct,Office- First,125,4,Live Alone,Desk In Shared Room,19,3,6,7,1,3,1,132,>24 hours,"asana,MS teams,zoom,notion",2,3,3,3,5,5,2,3,5,6,1,No,Don't Know,3,,,,,,,,,,,3.2,4.5,3.3333333333333335,,"System Administrator asana,MS teams,zoom,notion",1,2,0,3,0
Dhrum Tibrewal,35,Female,IT Support Specialist / Helpdesk,Software Development,01-Oct,Office- First,71,2,With Partner,Co-Working Space,25,1,2,6,1,2,7,140,>24 hours,"zoom,asana,jira,email,MS teams",2,4,2,3,2,5,2,3,4,6,2,Not Sure,Don't Know,4,,,,,,,,,,,3.0,1.5,3.3333333333333335,,"IT Support Specialist / Helpdesk zoom,asana,jira,email,MS teams",0,5,0,3,3
Kanian Mukhopadhyay,35,Female,Project Manager,Software Development,01-Oct,Flexible/ Variable,84,3,With Children,Co-Working Space,52,5,5,7,5,2,12,68,4-24 hours,"zoom,asana,email",1,2,3,5,3,3,4,2,3,7,2,Yes,Yes,2,,,,,,,,,,,2.8,5.0,3.0,,"Project Manager zoom,asana,email",0,5,0,0,2
Lanaesh Dona,37,Male,Technical Account Manager,Sales,201-1000,Flexible/ Variable,43,5,Shared Accommodation,Co-Working Space,37,4,4,8,4,5,1,119,<15 minutes,"asana,zoom,jira",2,5,2,2,5,3,1,1,2,7,5,Yes,Don't Know,4,,,,,,,,,,,2.6,4.0,1.6666666666666667,,"Technical Account Manager asana,zoom,jira",1,4,2,0,1
Anish Khangar,40,Male,Technical Sales Engineer,Sales,51-200,Flexible/ Variable,61,5,Shared Accommodation,Co-Working Space,29,2,5,10,5,2,11,117,>24 hours,"zoom,email,google meet,slack,jira",2,1,2,5,2,5,5,1,5,7,5,Not Sure,No,5,,,,,,,,,,,3.0,3.5,3.6666666666666665,,"Technical Sales Engineer zoom,email,google meet,slack,jira",1,4,4,0,1
Diya Agnihotri,46,Female,Embedded Systems Engineer,Operations,01-Oct,Flexible/ Variable,73,2,Live Alone,Shared Space(Kitchen/Living Room),34,1,6,8,5,2,11,131,>24 hours,"slack,MS teams",1,4,3,1,2,4,4,5,3,7,2,Yes,Yes,3,,,,,,,,,,,2.4,3.5,4.333333333333333,,"Embedded Systems Engineer slack,MS teams",0,2,0,0,0
Arrat Agnihotri,44,Male,QA Engineer / Test Engineer,Software Development,1001-5000,Office- First,70,5,With Partner,Shared Space(Kitchen/Living Room),37,5,2,7,5,5,5,122,15-60 minutes,"MS teams,asana",4,3,4,4,5,4,2,2,1,9,3,Yes,Don't Know,3,,,,,,,,,,,3.2,3.5,2.6666666666666665,,"QA Engineer / Test Engineer MS teams,asana",1,5,1,3,3
Suuth Parmar,32,Female,Technical Architect,Software Development,Nov-50,Flexible/ Variable,76,3,Shared Accommodation,Co-Working Space,45,3,2,7,5,3,4,111,4-24 hours,"slack,google meet,notion,zoom",3,3,4,5,3,4,1,2,2,8,1,Not Sure,Yes,1,,,,,,,,,,,3.4,2.5,2.3333333333333335,,"Technical Architect slack,google meet,notion,zoom",0,5,5,0,1
Dhoranjit Bansal,44,Male,DevOps Engineer,Operations,1001-5000,Office- First,71,3,With Children,Dedicated Room,34,3,3,4,3,4,7,120,>24 hours,"asana,slack,notion,email,zoom",4,4,2,2,4,3,2,4,4,7,1,Yes,Yes,5,,,,,,,,,,,3.2,3.0,3.0,,"DevOps Engineer asana,slack,notion,email,zoom",1,2,1,3,2
Tayan Venkataraman,29,Female,HR Manager,HR,01-Oct,Fully Remote,9,3,With Partner,Shared Space(Kitchen/Living Room),49,2,2,9,4,3,12,121,<15 minutes,"asana,zoom,email",4,2,2,1,1,2,4,5,5,8,3,Not Sure,No,4,,,,,,,,,,,2.8,2.0,3.6666666666666665,,"HR Manager asana,zoom,email",0,1,0,1,3
Viun Bhati,28,Male,Engineering Manager,Software Development,51-200,Fully Remote,117,2,With Children,Co-Working Space,33,4,4,8,4,2,11,113,1-4 hours,"zoom,asana",4,5,5,2,5,4,1,5,2,8,1,No,Don't Know,5,,,,,,,,,,,3.6,4.0,3.3333333333333335,,"Engineering Manager zoom,asana",1,5,4,1,2
Mauth Sureka,37,Male,Employer Branding Specialist,HR,201-1000,Hybrid,88,3,With Partner,Desk In Shared Room,24,3,4,7,1,4,3,95,<15 minutes,"zoom,notion,slack,MS teams",2,1,4,2,4,2,2,2,2,6,3,No,Yes,1,,,,,,,,,,,2.2,3.5,2.0,,"Employer Branding Specialist zoom,notion,slack,MS teams",1,1,2,2,3
Nirun Pandey / Pande,49,Male,Cloud Engineer,Operations,1001-5000,Fully Remote,59,4,With Children,Shared Space(Kitchen/Living Room),30,1,2,6,3,5,11,90,15-60 minutes,"asana,jira,notion",5,4,4,1,1,2,1,1,1,7,5,Not Sure,Don't Know,3,,,,,,,,,,,3.0,1.5,1.3333333333333333,,"Cloud Engineer asana,jira,notion",1,2,1,1,2
Taush Nirban,39,Female,QA Engineer / Test Engineer,Software Development,Nov-50,Fully Remote,126,3,Shared Accommodation,Shared Space(Kitchen/Living Room),37,2,2,10,1,1,12,65,15-60 minutes,"MS teams,slack,google meet",5,2,3,4,2,4,4,1,1,8,1,Not Sure,Yes,4,,,,,,,,,,,3.0,2.0,3.0,,"QA Engineer / Test Engineer MS teams,slack,google meet",0,5,5,1,1
Saov Banaphar,29,Female,Pre-Sales Engineer,Sales,Nov-50,Flexible/ Variable,57,1,With Children,Dedicated Room,24,1,1,5,3,3,10,73,<15 minutes,"asana,google meet,MS teams",5,1,5,3,1,2,4,2,2,8,5,Not Sure,Yes,2,,,,,,,,,,,3.2,1.0,2.6666666666666665,,"Pre-Sales Engineer asana,google meet,MS teams",0,4,5,0,2
Dhkaan Jadeja,39,Male,Automation Engineer,Software Development,1001-5000,Fully Remote,84,2,With Children,Shared Space(Kitchen/Living Room),41,4,2,9,2,2,4,117,4-24 hours,"google meet,jira",5,2,5,3,2,5,3,5,2,8,2,No,Yes,3,,,,,,,,,,,3.4,3.0,4.333333333333333,,"Automation Engineer google meet,jira",1,5,1,1,2
Garul Bendre,24,Male,Business Analyst,Software Development,51-200,Fully Remote,76,5,Shared Accommodation,Shared Space(Kitchen/Living Room),50,5,2,5,3,3,10,82,<15 minutes,"google meet,email,asana,zoom,slack",1,5,4,2,1,1,3,1,5,6,3,No,Yes,1,,,,,,,,,,,3.4,3.5,1.6666666666666667,,"Business Analyst google meet,email,asana,zoom,slack",1,5,4,1,1
Krnil Patil,45,Male,Technical Product Manager,Product,51-200,Office- First,121,2,With Children,Shared Space(Kitchen/Living Room),34,5,2,9,3,4,1,80,4-24 hours,"zoom,google meet",2,1,4,2,5,3,4,1,5,8,2,Not Sure,Yes,4,,,,,,,,,,,2.8,3.5,2.6666666666666665,,"Technical Product Manager zoom,google meet",1,3,4,3,2
Jasish Bhutra,48,Male,IT Operations Manager,Operations,01-Oct,Fully Remote,38,4,With Children,Desk In Shared Room,40,5,4,5,3,2,5,119,15-60 minutes,"slack,google meet,jira,zoom,email",4,3,4,5,1,3,2,2,5,6,1,Yes,No,3,,,,,,,,,,,4.2,4.5,2.3333333333333335,,"IT Operations Manager slack,google meet,jira,zoom,email",1,2,0,1,2
Hayav Trivedi,41,Female,Back-End Developer,Software Development,5001+,Fully Remote,63,3,With Children,Desk In Shared Room,36,2,4,6,5,3,6,75,>24 hours,"slack,asana,email,jira,google meet",2,2,3,1,2,2,4,1,2,7,1,Yes,Yes,1,,,,,,,,,,,2.0,3.0,2.3333333333333335,,"Back-End Developer slack,asana,email,jira,google meet",0,5,3,1,2
Tauk Tripathi / Tripathy,37,Male,CIO (Chief Information Officer),Software Development,1001-5000,Office- First,72,1,With Children,Shared Space(Kitchen/Living Room),39,3,4,8,1,3,12,125,1-4 hours,"zoom,jira",5,1,1,4,1,5,5,2,1,6,3,Yes,Yes,2,,,,,,,,,,,2.4,3.5,4.0,,"CIO (Chief Information Officer) zoom,jira",1,5,1,3,2
Nivish Sastry / Shastri,38,Male,Network Engineer,Operations,51-200,Flexible/ Variable,145,4,With Children,Dedicated Room,22,1,7,8,1,3,6,142,4-24 hours,"zoom,asana,jira,slack",3,3,2,5,3,5,1,1,1,6,2,No,Yes,2,,,,,,,,,,,2.8,4.0,2.3333333333333335,,"Network Engineer zoom,asana,jira,slack",1,2,4,0,2
Rikul Goel,45,Male,Customer Success Manager,Sales,51-200,Office- First,71,2,Live Alone,Co-Working Space,37,3,7,6,5,4,11,77,<15 minutes,"asana,google meet",3,1,4,4,2,3,4,3,2,6,3,Not Sure,Don't Know,1,,,,,,,,,,,2.8,5.0,3.3333333333333335,,"Customer Success Manager asana,google meet",1,4,4,3,0
Maiv Acharyya,34,Male,IoT Engineer,Software Development,201-1000,Hybrid,123,2,With Partner,Desk In Shared Room,20,5,2,8,5,1,2,143,15-60 minutes,"MS teams,slack,notion",5,4,2,5,2,2,5,4,4,6,3,No,Yes,4,,,,,,,,,,,4.0,3.5,3.6666666666666665,,"IoT Engineer MS teams,slack,notion",1,5,2,2,3
Dhsit Nath,49,Female,VP of Human Resources,HR,5001+,Flexible/ Variable,155,3,Live Alone,Shared Space(Kitchen/Living Room),39,1,3,8,5,2,4,139,>24 hours,"zoom,email,jira,google meet,MS teams",2,3,3,2,5,4,4,1,1,9,5,Yes,Yes,4,,,,,,,,,,,2.2,2.0,3.0,,"VP of Human Resources zoom,email,jira,google meet,MS teams",0,1,3,0,0
Sasiya Gohil,32,Male,Technical Product Manager,Product,1001-5000,Fully Remote,12,4,With Partner,Desk In Shared Room,47,3,7,10,1,3,5,138,<15 minutes,"slack,email,asana,zoom",4,2,1,3,2,5,5,1,2,8,5,No,No,3,,,,,,,,,,,2.4,5.0,3.6666666666666665,,"Technical Product Manager slack,email,asana,zoom",1,3,1,1,3
Risik Shah,43,Female,Technical Product Manager,Product,5001+,Hybrid,149,5,Shared Accommodation,Shared Space(Kitchen/Living Room),37,3,1,10,3,1,12,81,<15 minutes,"zoom,asana,email,google meet",3,2,3,1,3,4,5,1,2,9,3,Not Sure,Don't Know,4,,,,,,,,,,,2.2,2.0,3.3333333333333335,,"Technical Product Manager zoom,asana,email,google meet",0,3,3,2,1
Deuan Kumbhar,40,Male,Product Owner,Product,5001+,Fully Remote,63,3,Live Alone,Desk In Shared Room,38,1,4,8,1,3,3,139,<15 minutes,"email,jira,zoom,slack,notion",2,4,1,3,3,4,1,2,5,8,3,Not Sure,Don't Know,1,,,,,,,,,,,3.0,2.5,2.3333333333333335,,"Product Owner email,jira,zoom,slack,notion",1,3,3,1,0
Deelash Reddy,30,Female,Database Administrator (DBA),Operations,5001+,Hybrid,86,3,Live Alone,Desk In Shared Room,43,3,4,7,5,3,3,118,1-4 hours,"jira,MS teams,zoom,google meet",1,1,3,1,4,4,2,5,5,7,2,Yes,No,1,,,,,,,,,,,2.2,3.5,3.6666666666666665,,"Database Administrator (DBA) jira,MS teams,zoom,google meet",0,2,3,2,0
Preeti Iyengar,26,Female,HR Coordinator (Entry-level),HR,5001+,Fully Remote,135,3,With Children,Desk In Shared Room,35,1,1,9,1,5,9,84,<15 minutes,"slack,asana",2,3,3,3,5,5,1,3,1,6,3,No,Yes,2,,,,,,,,,,,2.4,1.0,3.0,,"HR Coordinator (Entry-level) slack,asana",0,1,3,1,2
Shmiv Goyal,43,Female,DevOps Engineer,Operations,Nov-50,Office- First,140,4,With Partner,Shared Space(Kitchen/Living Room),30,2,7,5,3,5,2,67,<15 minutes,"email,slack,notion,google meet,asana",5,3,4,1,1,1,1,1,1,9,1,Not Sure,Yes,2,,,,,,,,,,,2.8,4.5,1.0,,"DevOps Engineer email,slack,notion,google meet,asana",0,2,5,3,3
Dhyak Ramakrishnan,48,Male,Tech Lead,Software Development,5001+,Flexible/ Variable,134,3,Shared Accommodation,Shared Space(Kitchen/Living Room),25,2,2,10,2,4,8,143,4-24 hours,"google meet,MS teams,email,slack,asana",2,4,5,2,4,5,3,4,3,8,1,Yes,Don't Know,2,,,,,,,,,,,3.2,2.0,4.0,,"Tech Lead google meet,MS teams,email,slack,asana",1,5,3,0,1
Kaik Sarmah,42,Female,System Administrator,Operations,51-200,Flexible/ Variable,89,2,Shared Accommodation,Desk In Shared Room,24,5,5,7,4,4,11,70,<15 minutes,"slack,MS teams,email",3,5,2,5,2,4,5,3,1,9,4,No,Yes,4,,,,,,,,,,,3.2,5.0,4.0,,"System Administrator slack,MS teams,email",0,2,4,0,1
Suvith Patnaik,27,Female,Automation Test Engineer,Software Development,5001+,Flexible/ Variable,82,2,Live Alone,Desk In Shared Room,42,1,3,10,1,5,4,115,>24 hours,"slack,MS teams,jira",3,2,3,2,2,5,4,2,1,7,5,No,Don't Know,4,,,,,,,,,,,2.2,2.0,3.6666666666666665,,"Automation Test Engineer slack,MS teams,jira",0,5,3,0,0
Vimim Mir,48,Male,Web Developer,Software Development,51-200,Office- First,41,1,Shared Accommodation,Desk In Shared Room,28,1,1,7,2,3,9,142,4-24 hours,"slack,jira",1,2,5,3,5,1,4,2,5,9,1,No,No,1,,,,,,,,,,,3.2,1.0,2.3333333333333335,,"Web Developer slack,jira",1,5,4,3,1
Rashah Sureka,24,Female,Prompt Engineer,Software Development,01-Oct,Flexible/ Variable,104,1,Live Alone,Desk In Shared Room,28,2,3,8,2,2,9,96,15-60 minutes,"jira,MS teams,asana,slack",2,5,2,2,3,4,3,4,4,7,5,Yes,Don't Know,4,,,,,,,,,,,3.0,2.5,3.6666666666666665,,"Prompt Engineer jira,MS teams,asana,slack",0,5,0,0,0
